Bitstring,Count
'0000000000',592
'0000000001',2
'0000000010',118
'0000000100',11
'0000000110',2
'0000001000',16
'0000001010',6
'0000001100',4
'0000001110',10
'0000010000',26
'0000010010',6
'0000010100',2
'0000010110',6
'0000011000',1
'0000011100',2
'0000011110',9
'0000100000',21
'0000100010',3
'0000101100',1
'0000101110',1
'0000110000',3
'0000110100',1
'0000110110',1
'0000111000',1
'0000111110',8
'0001000000',21
'0001000010',4
'0001000100',1
'0001010000',2
'0001011110',1
'0001111010',1
'0001111100',1
'0001111110',13
'0010000000',16
'0010000010',2
'0010001000',1
'0010011100',1
'0010100000',1
'0010111100',1
'0010111110',1
'0011000000',1
'0011000010',2
'0011011110',1
'0011111110',6
'0011111111',3
'0100000000',14
'0100001000',1
'0100010000',1
'0101000000',2
'0101000010',1
'0101010000',1
'0101111100',1
'0101111110',1
'0110000000',5
'0110000001',1
'0110100001',1
'0111101001',1
'0111101011',1
'0111111001',1
'0111111100',1
'0111111101',2
'0111111110',8
'0111111111',13
'1000000000',19
'1000000001',10
'1000000010',3
'1000000011',1
'1000000101',1
'1000000110',1
'1000001000',1
'1000011111',1
'1000101001',1
'1000111111',1
'1001000000',1
'1001111101',1
'1001111110',1
'1001111111',5
'1010000001',2
'1010000010',1
'1010000111',1
'1010100001',1
'1011100001',1
'1011101011',1
'1011101101',1
'1011101111',1
'1011111011',1
'1011111101',6
'1011111110',2
'1011111111',24
'1100000000',1
'1100000001',6
'1100000011',3
'1100000100',1
'1100000101',1
'1100001001',1
'1100100001',1
'1101000001',1
'1101000011',1
'1101011111',1
'1101111101',2
'1101111111',13
'1110000001',13
'1110000010',1
'1110000011',3
'1110001111',1
'1110010001',2
'1110011101',2
'1110011111',1
'1110100001',1
'1110100111',1
'1110110011',1
'1110111101',5
'1110111111',22
'1111000001',5
'1111000101',1
'1111001111',3
'1111010001',2
'1111010101',1
'1111011001',1
'1111011101',3
'1111011111',14
'1111100001',5
'1111100011',1
'1111101001',5
'1111101011',1
'1111101101',5
'1111101111',24
'1111110001',6
'1111110101',6
'1111110111',19
'1111111001',9
'1111111011',30
'1111111100',2
'1111111101',93
'1111111110',5
'1111111111',596
